Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_shoulder_pitch_Link,-1.5281E-06,0.0012801,0.010037,0,0,0,1.56,0.00077192,9.0134E-10,1.0433E-08,0.00076311,8.0042E-06,0.00057782,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_shoulder_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_shoulder_pitch_Link.STL,,left_shoulder_pitch_link-1,cs1,axis1,left_shoulder_pitch_joint,revolute,0,0,0,0,0,0,left_j0_Link,0,0,1,100,3.14,-2.617,3.489,,,,,,,,
left_shoulder_roll_Link,-0.00556,0.0599,0.0066588,0,0,0,1.6,0.0010035,2.3841E-05,-1.0274E-05,0.00055872,0.00014007,0.0007246,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_shoulder_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_shoulder_roll_Link.STL,,left_shoulder_roll_link-1,cs2,axis2,left_shoulder_roll_joint,revolute,0,0,0,-1.5708,-1.5708,0,left_shoulder_pitch_Link,0,0,1,100,3.14,-0.52,3.14,,,,,,,,
left_shoulder_yaw_Link,-0.0052548,2.5172E-06,-0.058521,0,0,0,1.43,0.0033775,-4.6541E-08,0.00040068,0.0034959,-5.8781E-07,0.00095839,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_shoulder_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_shoulder_yaw_Link.STL,,left_shoulder_yaw_link-1,cs3,axis3,left_shoulder_yaw_joint,revolute,0,0.263,0,-1.5708,1.5708,0,left_shoulder_roll_Link,0,0,1,100,3.14,-2.97,2.97,,,,,,,,
left_elbow_pitch_Link,0.01882,0.06158,-0.0031393,0,0,0,1.54,0.00096589,-2.8213E-05,-3.0991E-05,0.00057825,-9.4763E-05,0.00086553,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_elbow_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_elbow_pitch_Link.STL,,left_elbow_pitch_link-1,cs4,axis4,left_elbow_pitch_joint,revolute,-0.017,0,0,1.5708,0,0,left_shoulder_yaw_Link,0,0,1,100,3.14,-0.26,2.62,,,,,,,,
left_wrist_yaw_Link,2.1303E-06,-3.3632E-05,-0.10933,0,0,0,1,0.0019601,-4.5686E-08,6.9422E-07,0.0018266,-7.1661E-06,0.00073908,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_wrist_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_wrist_yaw_Link.STL,,left_wrist_yaw_link-1,cs5,axis5,left_wrist_yaw_joint,revolute,0.017,0.292,0,-1.5708,0,0,left_elbow_pitch_Link,0,0,1,100,3.14,-2.97,2.97,,,,,,,,
left_wrist_pitch_Link,-0.011382,-0.0010026,0.0011829,0,0,0,0.76,0.00019501,3.4698E-06,1.0237E-06,0.00028123,-4.1873E-08,0.00028521,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_wrist_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_wrist_pitch_Link.STL,,left_wrist_pitch_link-1,cs6,axis6,left_wrist_pitch_joint,revolute,0,0,0,1.5708,-1.5708,0,left_wrist_yaw_Link,0,0,1,100,3.14,-1.05,1.05,,,,,,,,
left_wrist_roll_Link,0.051582,0.00093772,0.013171,0,0,0,1,6.93E-05,-1.2765E-06,1.5894E-05,8.3806E-05,1.9625E-06,7.456E-05,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_wrist_roll_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_wrist_roll_Link.STL,,left_wrist_rolllink-1,cs7,axis7,left_wrist_roll_joint,revolute,0,0,0,-1.5708,0,0,left_wrist_pitch_Link,0,0,1,100,3.14,-1.57,1.57,,,,,,,,
left_gripper_link,0.00040153,3.4202E-05,0.066561,0,0,0,0.5,0.00084915,1.0618E-07,-1.2716E-06,0.00058135,1.5563E-07,0.00044074,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_gripper_link.STL,0.9,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_gripper_link.STL,,left_camerfix-1;left_gripper-1,坐标系13,基准轴12,left_gripper_joint,fixed,0.0825,0,0,3.14,-1.5708,3.14,left_wrist_roll_Link,0,0,0,100,3.14,0,0.0475,,,,,,,,
left_D405_Link,1.3878E-17,-3.0809E-15,0.016231,0,0,0,0.1,1.2746E-05,3.8562E-22,5.1496E-22,1.2765E-05,-1.3956E-21,1.6033E-05,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_D405_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_D405_Link.STL,,left_D405-1,cs_left_d405,axis_left_d405,left_D405_joint,fixed,0.062698,0,0.0248,0,0,0,left_gripper_link,0,0,0,,,,,,,,,,,,
left_finger01_Link,-1.6448E-13,-9.518E-05,0.0047305,0,0,0,0.1,5.2736E-07,6.6885E-19,9.6175E-19,2.5707E-07,-2.8382E-09,6.728E-07,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_finger01_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_finger01_Link.STL,,left_finger01-2,坐标系16,基准轴10,left_finger01_joint,prismatic,-0.00175,0.0476,0.17004,-1.5708,0,0,left_gripper_link,0,0,1,100,0.1,-0.0475,0,,,,,,,,
left_finger02_Link,1.6488E-13,-9.518E-05,-0.0047305,0,0,0,0.1,5.2736E-07,-6.5571E-19,9.7493E-19,2.5707E-07,2.8382E-09,6.728E-07,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_finger02_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_finger02_Link.STL,,left_finger02-1,坐标系17,基准轴11,left_finger02_joint,prismatic,-0.00175,-0.0474,0.17004,-1.5708,0,0,left_gripper_link,0,0,1,100,0.1,0,0.0475,,,,,,,,
right_j0_Link,-2.7744E-05,-4.4867E-05,-0.11659,0,0,0,0.3,0.00050767,2.0137E-07,-4.6707E-07,0.00050791,-7.3046E-07,0.00023286,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_j0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_j0_Link.STL,,J1R-1,cs_J0R,axis1r,right_j0_joint,fixed,0,-0.2385,0.3897,1.5708,1.5708,0,torso_Link,0,0,0,,,,,,,,,,,,
right_shoulder_pitch_Link,-8.2772E-07,0.0012797,-0.010038,0,0,0,1.56,0.00077195,6.8228E-09,2.4063E-09,0.00076314,-8.0164E-06,0.00057784,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_shoulder_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_shoulder_pitch_Link.STL,,right_shoulder_pitch_link-2,cs1r,axis1r,right_shoulder_pitch_joint,revolute,0,0,0,0,0,0,right_j0_Link,0,0,1,100,3.14,-2.617,3.489,,,,,,,,
right_shoulder_roll_Link,0.0055601,0.059897,0.0066624,0,0,0,1.6,0.0010036,-2.3862E-05,1.0224E-05,0.00055879,0.00014012,0.00072463,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_shoulder_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_shoulder_roll_Link.STL,,right_shoulder_roll_link-2,cs2r,axis2r,right_shoulder_roll_joint,revolute,0,0,0,-1.5708,-1.5708,0,right_shoulder_pitch_Link,0,0,1,100,3.14,-3.14,0.52,,,,,,,,
right_shoulder_yaw_Link,-0.0052547,-2.5343E-06,-0.058521,0,0,0,1.43,0.0033775,3.6295E-08,0.00040068,0.0034959,5.783E-07,0.00095839,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_shoulder_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/right_shoulder_yaw_Link.STL,,right_shoulder_yaw_link-2,cs3r,axis3r,right_shoulder_yaw_joint,revolute,0,0.263,0,-1.5708,1.5708,0,right_shoulder_roll_Link,0,0,1,100,3.14,-2.97,2.97,,,,,,,,
